"ID","Component of Response vector","Component of Impact vector","Effectiveness index","Controllability-ensuring index"
"1","-0,156896","-0,15689602","0,02461636","0,10736052"
"2","0,0221342","0,0037849","0,00048992","6,248E-05"
"3","-0,0036214","-0,00362145","1,311E-05","5,72E-05"
"4","-0,1736565","-0,06996028","0,03015658","0,02134636"
"5","-0,1471497","-0,06205797","0,02165304","0,01679639"
"6","0,1331115","0,08160915","0,01771867","0,02904681"
"7","0,2474338","0,24743375","0,06122349","0,26701682"
"8","-0,0122436","-0,00246571","0,00014991","2,652E-05"
"9","-0,2725082","-0,13539515","0,07426072","0,07995156"
"10","0,4123921","0,19774452","0,17006726","0,17054133"
"11","0,5421513","0,16823222","0,29392805","0,12343522"
"12","0,3660269","0,08410826","0,1339757","0,03085305"
"13","0,4144239","0,18760826","0,17174718","0,15350575"
